case_id,slice_idx,inference_time_ms,memory_usage_mb,has_tumor,image_size
case_00154,162,20.205974578857422,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,267,19.331693649291992,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,327,19.338130950927734,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00014,250,23.35977554321289,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,300,25.198936462402344,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00161,398,20.774364471435547,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,216,22.724628448486328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,459,21.669626235961914,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,504,18.554210662841797,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,280,20.39170265197754,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,458,18.556594848632812,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,221,19.788265228271484,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,56,19.22893524169922,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,105,19.50979232788086,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,504,20.9503173828125,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,361,19.30546760559082,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,103,20.307302474975586,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,88,20.72453498840332,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,312,19.385576248168945,0.0,False,"torch.Size([1, 1, 224, 224])"
